time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Time,.Week,.Status,.RPY.x,.RPY.y,.RPY.z,.LLA.x,.LLA.y,.LLA.z,.NedVel.x,.NedVel.y,.NedVel.z,.YawUncertainty,.PitchUncertainty,.RollUncertainty,.PosUncertainty,.VelUncertainty,.SyncInTime,.SyncInCount
2020/02/28/11:00:08.566542,11436,1582909208,566446073,vectornav,1266944426.51,2094,15110,-1.57450556755,-0.640618860722,-163.408966064,30.6730814123,-96.372897488,85.484161299,-0.00707815587521,-0.00645243842155,0.100592084229,1.11841738224,0.0845153331757,0.0843835696578,0.677742183208,0.0999381765723,1582908092.53,0
2020/02/28/11:00:08.586492,11437,1582909208,586422222,vectornav,1266944426.53,2094,15110,-1.57393610477,-0.640958547592,-163.408798218,30.6730814114,-96.3728974891,85.4823173058,-0.00723098218441,-0.00704159308225,0.100874528289,1.11872792244,0.0846792832017,0.084547445178,0.669152379036,0.0967165231705,1582908092.53,0
2020/02/28/11:00:08.606617,11438,1582909208,606494342,vectornav,1266944426.55,2094,60166,-1.57302391529,-0.641742885113,-163.408493042,30.6730814102,-96.3728974902,85.4804086587,-0.00748718157411,-0.00721225328743,0.101217336953,1.11897659302,0.0848105549812,0.084679223597,0.670073390007,0.0970537364483,1582908092.53,0
2020/02/28/11:00:08.626560,11439,1582909208,626457205,vectornav,1266944426.57,2094,60166,-1.57132983208,-0.641614735126,-163.408859253,30.6730814085,-96.3728974921,85.4783042322,-0.00767219439149,-0.00725119747221,0.101587362587,1.11922514439,0.0849419310689,0.0848109051585,0.670999407768,0.0973916053772,1582908092.53,0
2020/02/28/11:00:08.646491,11440,1582909208,646403175,vectornav,1266944426.59,2094,60166,-1.57138872147,-0.64160823822,-163.408859253,30.6730814073,-96.3728974936,85.4762720306,-0.0080365203321,-0.00731524918228,0.101881377399,1.11947369576,0.08507335186,0.0849422812462,0.671930015087,0.0977300405502,1582908092.53,0
2020/02/28/11:00:08.666525,11441,1582909208,666415948,vectornav,1266944426.61,2094,29446,-1.57041299343,-0.641228020191,-163.409332275,30.6730814063,-96.3728974944,85.4743044608,-0.00835521146655,-0.00729854218662,0.101764783263,1.11972236633,0.0852048546076,0.0850741490722,0.672865629196,0.098069190979,1582908092.53,0
2020/02/28/11:00:08.686522,11442,1582909208,686421495,vectornav,1266944426.63,2094,29446,-1.56839966774,-0.64110326767,-163.408813477,30.6730814045,-96.3728974957,85.4721422583,-0.00864944979548,-0.00714244227856,0.102003678679,1.11997103691,0.0853364318609,0.0852058902383,0.673806071281,0.0984088927507,1582908092.53,0
2020/02/28/11:00:08.706490,11443,1582909208,706403723,vectornav,1266944426.65,2094,39686,-1.56787180901,-0.641220629215,-163.408416748,30.6730814035,-96.3728974971,85.4701189939,-0.00885075703263,-0.00705444673076,0.102455049753,1.1202198267,0.0854680985212,0.085337460041,0.674751520157,0.0987492874265,1582908092.53,0
2020/02/28/11:00:08.726476,11444,1582909208,726400915,vectornav,1266944426.67,2094,39686,-1.56711244583,-0.641204535961,-163.408599854,30.6730814011,-96.3728974981,85.4681352602,-0.00912852212787,-0.00717371003702,0.102776445448,1.12046873569,0.0855998620391,0.0854694694281,0.675701856613,0.0990897193551,1582908092.53,0
2020/02/28/11:00:08.746499,11445,1582909208,746400217,vectornav,1266944426.69,2094,39686,-1.56668531895,-0.641386687756,-163.408401489,30.6730813999,-96.372897499,85.4660589056,-0.00935599952936,-0.00702035101131,0.103275895119,1.12071740627,0.0857316330075,0.0856017246842,0.676657259464,0.0994308814406,1582908092.53,0
