time,.data
2020/02/28/11:00:22.980692,1.3992352
2020/02/28/11:00:23.014278,1.3679424
2020/02/28/11:00:23.048893,1.3768832
2020/02/28/11:00:23.080116,1.3813536
2020/02/28/11:00:23.113866,1.408176
2020/02/28/11:00:23.147528,1.4126464
2020/02/28/11:00:23.180604,1.408176
2020/02/28/11:00:23.213798,1.3724128
2020/02/28/11:00:23.247639,1.3768832
2020/02/28/11:00:23.280439,1.3813536
2020/02/28/11:00:23.313677,1.408176
2020/02/28/11:00:23.347584,1.4037056
2020/02/28/11:00:23.381159,1.4037056
2020/02/28/11:00:23.413758,1.3813536
2020/02/28/11:00:23.447572,1.3902944
2020/02/28/11:00:23.480546,1.3947648
2020/02/28/11:00:23.514871,1.4037056
2020/02/28/11:00:23.547997,1.385824
2020/02/28/11:00:23.580903,1.3947648
2020/02/28/11:00:23.614740,1.3768832
2020/02/28/11:00:23.648526,1.3902944
2020/02/28/11:00:23.681763,1.3947648
2020/02/28/11:00:23.714266,1.4171168
2020/02/28/11:00:23.747726,1.4037056
2020/02/28/11:00:23.781723,1.3992352
2020/02/28/11:00:23.814910,1.3768832
2020/02/28/11:00:23.848711,1.4037056
2020/02/28/11:00:23.881454,1.4171168
2020/02/28/11:00:23.915562,1.4171168
2020/02/28/11:00:23.948018,1.3947648
2020/02/28/11:00:23.982052,1.3813536
2020/02/28/11:00:24.015196,1.3679424
2020/02/28/11:00:24.049343,1.3947648
2020/02/28/11:00:24.082165,1.408176
2020/02/28/11:00:24.116075,1.408176
2020/02/28/11:00:24.149930,1.3813536
2020/02/28/11:00:24.182586,1.3679424
2020/02/28/11:00:24.215874,1.363472
2020/02/28/11:00:24.249971,1.3902944
2020/02/28/11:00:24.282867,1.408176
2020/02/28/11:00:24.316113,1.4126464
2020/02/28/11:00:24.350075,1.3768832
2020/02/28/11:00:24.382829,1.3813536
2020/02/28/11:00:24.416766,1.3679424
2020/02/28/11:00:24.449054,1.3902944
2020/02/28/11:00:24.483196,1.4037056
2020/02/28/11:00:24.517415,1.408176
2020/02/28/11:00:24.549964,1.3768832
2020/02/28/11:00:24.582458,1.3724128
2020/02/28/11:00:24.616540,1.3813536
2020/02/28/11:00:24.649789,1.4037056
2020/02/28/11:00:24.683192,1.3947648
2020/02/28/11:00:24.716709,1.3947648
2020/02/28/11:00:24.749573,1.3768832
2020/02/28/11:00:24.783424,1.3724128
2020/02/28/11:00:24.815874,1.3768832
2020/02/28/11:00:24.849231,1.4037056
2020/02/28/11:00:24.883474,1.4260576
2020/02/28/11:00:24.916599,1.4126464
2020/02/28/11:00:24.950168,1.3768832
2020/02/28/11:00:24.983165,1.363472
2020/02/28/11:00:25.016825,1.3724128
2020/02/28/11:00:25.049863,1.3813536
2020/02/28/11:00:25.083984,1.3992352
2020/02/28/11:00:25.116467,1.4037056
2020/02/28/11:00:25.149681,1.385824
2020/02/28/11:00:25.182718,1.3768832
2020/02/28/11:00:25.216832,1.3813536
2020/02/28/11:00:25.250134,1.3947648
2020/02/28/11:00:25.282862,1.408176
2020/02/28/11:00:25.316487,1.385824
2020/02/28/11:00:25.349906,1.3813536
2020/02/28/11:00:25.382868,1.3902944
2020/02/28/11:00:25.416446,1.385824
2020/02/28/11:00:25.450072,1.385824
2020/02/28/11:00:25.483591,1.4037056
2020/02/28/11:00:25.517053,1.4037056
